num_edges;num_vertices; num_triangles; is_manifold; is_watertight; surface_area;ratio_surface_to_edges; ratios_triangles_to_edges; mean_triangle_size
8598;8598;2866;True;False;178756.1296009414;20.79043144928372;0.3333333333333333;62.371294347851155
9024;9024;3008;True;False;53239.82174111031;5.899802941169139;0.3333333333333333;17.69940882350742
9060;9060;3020;True;False;33249.84716356531;3.6699610555811604;0.3333333333333333;11.00988316674348
9018;9018;3006;True;False;36708.96983538739;4.070633159834485;0.3333333333333333;12.211899479503456
8958;8958;2986;True;False;36708.598849957976;4.097856536052465;0.3333333333333333;12.293569608157393
8916;8916;2972;True;False;35785.51160461354;4.013628488628705;0.3333333333333333;12.040885465886117
8874;8874;2958;True;False;35719.301075166455;4.025163519851978;0.3333333333333333;12.075490559555934
8952;8952;2984;True;False;36017.145366004814;4.023362976542093;0.3333333333333333;12.070088929626278
8904;8904;2968;True;False;36896.53991853284;4.1438162532044975;0.3333333333333333;12.431448759613492
9012;9012;3004;True;False;37301.12125224111;4.139050294301055;0.3333333333333333;12.417150882903165
8688;8688;2896;True;False;37494.985190004154;4.31572113144615;0.3333333333333333;12.947163394338451
8604;8604;2868;True;False;37673.50630250574;4.3786037078691;0.3333333333333333;13.1358111236073
8670;8670;2890;True;False;38076.46463458909;4.3917490928015095;0.3333333333333333;13.175247278404528
8814;8814;2938;True;False;37905.94870404722;4.300652224194148;0.3333333333333333;12.901956672582445
9036;9036;3012;True;False;38078.14985461671;4.214049342033722;0.3333333333333333;12.642148026101166
8682;8682;2894;True;False;38338.11019934306;4.415815503264577;0.3333333333333333;13.24744650979373
8604;8604;2868;True;False;38290.86176230765;4.450355853359792;0.3333333333333333;13.351067560079375
9090;9090;3030;True;False;38485.9522160481;4.233878131578448;0.3333333333333333;12.701634394735347
8628;8628;2876;True;False;38890.839590723124;4.507515019787103;0.3333333333333333;13.52254505936131
